The Lord of the Rings: The Fellowship of the Ring,"Here are my recommendations for The Lord of the Rings: The Fellowship of the Ring:<br><a href='http://localhost:3000/movie/625c2b4df0a5bc6c426c06a2' target=""_blank"">The Lord of the Rings: The Return of the King</a><br><a href='http://localhost:3000/movie/625c2b55f0a5bc6c426c06b2' target=""_blank"">The Lord of the Rings: The Two Towers</a><br><a href='http://localhost:3000/movie/625c2b6cf0a5bc6c426c06e6' target=""_blank"">Gladiator</a><br><a href='http://localhost:3000/movie/625c2b7cf0a5bc6c426c070e' target=""_blank"">Avengers: Endgame</a><br><a href='http://localhost:3000/movie/625c2cb6f0a5bc6c426c0946' target=""_blank"">The Revenant</a><br>"
Forrest Gump,"Here are my recommendations for Forrest Gump:<br><a href='http://localhost:3000/movie/625c2d8bf0a5bc6c426c0bb0' target=""_blank"">Titanic</a><br><a href='http://localhost:3000/movie/625c2bc6f0a5bc6c426c075e' target=""_blank"">Good Will Hunting</a><br><a href='http://localhost:3000/movie/625c2cbbf0a5bc6c426c095c' target=""_blank"">Slumdog Millionaire</a><br><a href='http://localhost:3000/movie/625c2d84f0a5bc6c426c0b92' target=""_blank"">The Notebook</a><br><a href='http://localhost:3000/movie/625c2cb6f0a5bc6c426c0948' target=""_blank"">The Perks of Being a Wallflower</a><br>"
"Il buono, il brutto, il cattivo","Here are my recommendations for Il buono, il brutto, il cattivo:<br><a href='http://localhost:3000/movie/625c2b72f0a5bc6c426c06f8' target=""_blank"">Once Upon a Time in the West</a><br><a href='http://localhost:3000/movie/625c2bd0f0a5bc6c426c077e' target=""_blank"">Per qualche dollaro in più</a><br><a href='http://localhost:3000/movie/625c2da3f0a5bc6c426c0bfe' target=""_blank"">The Outlaw Josey Wales</a><br><a href='http://localhost:3000/movie/625c2b46f0a5bc6c426c0698' target=""_blank"">The Shawshank Redemption</a><br><a href='http://localhost:3000/movie/625c2b50f0a5bc6c426c06aa' target=""_blank"">Fight Club</a><br>"
The Lord of the Rings: The Two Towers,"Here are my recommendations for The Lord of the Rings: The Two Towers:<br><a href='http://localhost:3000/movie/625c2b51f0a5bc6c426c06ac' target=""_blank"">The Lord of the Rings: The Fellowship of the Ring</a><br><a href='http://localhost:3000/movie/625c2b4df0a5bc6c426c06a2' target=""_blank"">The Lord of the Rings: The Return of the King</a><br><a href='http://localhost:3000/movie/625c2b6cf0a5bc6c426c06e6' target=""_blank"">Gladiator</a><br><a href='http://localhost:3000/movie/625c2b7cf0a5bc6c426c070e' target=""_blank"">Avengers: Endgame</a><br><a href='http://localhost:3000/movie/625c2cb6f0a5bc6c426c0946' target=""_blank"">The Revenant</a><br>"
The Matrix,"Here are my recommendations for The Matrix:<br><a href='http://localhost:3000/movie/625c2c80f0a5bc6c426c092a' target=""_blank"">The Martian</a><br><a href='http://localhost:3000/movie/625c2b70f0a5bc6c426c06f0' target=""_blank"">Terminator 2: Judgment Day</a><br><a href='http://localhost:3000/movie/625c2cd8f0a5bc6c426c09cc' target=""_blank"">The Terminator</a><br><a href='http://localhost:3000/movie/625c2b4ff0a5bc6c426c06a8' target=""_blank"">Inception</a><br><a href='http://localhost:3000/movie/625c2cc0f0a5bc6c426c0962' target=""_blank"">The Avengers</a><br>"
Goodfellas,"Here are my recommendations for Goodfellas:<br><a href='http://localhost:3000/movie/625c2bf0f0a5bc6c426c07be' target=""_blank"">The Wolf of Wall Street</a><br><a href='http://localhost:3000/movie/625c2c45f0a5bc6c426c087e' target=""_blank"">Catch Me If You Can</a><br><a href='http://localhost:3000/movie/625c2c2cf0a5bc6c426c084c' target=""_blank"">Spotlight</a><br><a href='http://localhost:3000/movie/625c2d77f0a5bc6c426c0b74' target=""_blank"">American Gangster</a><br><a href='http://localhost:3000/movie/625c2d10f0a5bc6c426c0a60' target=""_blank"">The Irishman</a><br>"
Star Wars: Episode V - The Empire Strikes Back,"Here are my recommendations for Star Wars: Episode V - The Empire Strikes Back:<br><a href='http://localhost:3000/movie/625c2b62f0a5bc6c426c06d2' target=""_blank"">Star Wars</a><br><a href='http://localhost:3000/movie/625c2d77f0a5bc6c426c0b76' target=""_blank"">Avatar</a><br><a href='http://localhost:3000/movie/625c2ccbf0a5bc6c426c0988' target=""_blank"">Pirates of the Caribbean: The Curse of the Black Pearl</a><br><a href='http://localhost:3000/movie/625c2bcbf0a5bc6c426c0772' target=""_blank"">Star Wars: Episode VI - Return of the Jedi</a><br><a href='http://localhost:3000/movie/625c2d89f0a5bc6c426c0ba2' target=""_blank"">Wo hu cang long</a><br>"
One Flew Over the Cuckoo's Nest,"Here are my recommendations for One Flew Over the Cuckoo's Nest:<br><a href='http://localhost:3000/movie/625c2b46f0a5bc6c426c0698' target=""_blank"">The Shawshank Redemption</a><br><a href='http://localhost:3000/movie/625c2b50f0a5bc6c426c06aa' target=""_blank"">Fight Club</a><br><a href='http://localhost:3000/movie/625c2bc5f0a5bc6c426c075c' target=""_blank"">American Beauty</a><br><a href='http://localhost:3000/movie/625c2b6df0a5bc6c426c06e8' target=""_blank"">American History X</a><br><a href='http://localhost:3000/movie/625c2bc5f0a5bc6c426c075a' target=""_blank"">Requiem for a Dream</a><br>"
Hamilton,"Here are my recommendations for Hamilton:<br><a href='http://localhost:3000/movie/625c2b4ef0a5bc6c426c06a6' target=""_blank"">Schindler's List</a><br><a href='http://localhost:3000/movie/625c2bc6f0a5bc6c426c0764' target=""_blank"">Braveheart</a><br><a href='http://localhost:3000/movie/625c2c27f0a5bc6c426c0846' target=""_blank"">12 Years a Slave</a><br><a href='http://localhost:3000/movie/625c2cb7f0a5bc6c426c094c' target=""_blank"">The King's Speech</a><br><a href='http://localhost:3000/movie/625c2c21f0a5bc6c426c0840' target=""_blank"">Hacksaw Ridge</a><br>"
Gisaengchung,"Here are my recommendations for Gisaengchung:<br><a href='http://localhost:3000/movie/625c2c1af0a5bc6c426c0830' target=""_blank"">Relatos salvajes</a><br><a href='http://localhost:3000/movie/625c2deef0a5bc6c426c0d0c' target=""_blank"">Barton Fink</a><br><a href='http://localhost:3000/movie/625c2c4af0a5bc6c426c088c' target=""_blank"">The Truman Show</a><br><a href='http://localhost:3000/movie/625c2dc2f0a5bc6c426c0c52' target=""_blank"">Birdman or (The Unexpected Virtue of Ignorance)</a><br><a href='http://localhost:3000/movie/625c2e08f0a5bc6c426c0d76' target=""_blank"">Once Upon a Time... in Hollywood</a><br>"
Soorarai Pottru,"Here are my recommendations for Soorarai Pottru:<br><a href='http://localhost:3000/movie/625c2b46f0a5bc6c426c0698' target=""_blank"">The Shawshank Redemption</a><br><a href='http://localhost:3000/movie/625c2b50f0a5bc6c426c06aa' target=""_blank"">Fight Club</a><br><a href='http://localhost:3000/movie/625c2bc5f0a5bc6c426c075c' target=""_blank"">American Beauty</a><br><a href='http://localhost:3000/movie/625c2b6df0a5bc6c426c06e8' target=""_blank"">American History X</a><br><a href='http://localhost:3000/movie/625c2b59f0a5bc6c426c06ba' target=""_blank"">One Flew Over the Cuckoo's Nest</a><br>"
Interstellar,"Here are my recommendations for Interstellar:<br><a href='http://localhost:3000/movie/625c2c80f0a5bc6c426c092a' target=""_blank"">The Martian</a><br><a href='http://localhost:3000/movie/625c2d2cf0a5bc6c426c0a9a' target=""_blank"">Children of Men</a><br><a href='http://localhost:3000/movie/625c2bd0f0a5bc6c426c077c' target=""_blank"">2001: A Space Odyssey</a><br><a href='http://localhost:3000/movie/625c2c55f0a5bc6c426c08ae' target=""_blank"">Stand by Me</a><br><a href='http://localhost:3000/movie/625c2ce4f0a5bc6c426c09ec' target=""_blank"">Planet of the Apes</a><br>"
Cidade de Deus,"Here are my recommendations for Cidade de Deus:<br><a href='http://localhost:3000/movie/625c2b4ef0a5bc6c426c06a4' target=""_blank"">Pulp Fiction</a><br><a href='http://localhost:3000/movie/625c2b47f0a5bc6c426c069a' target=""_blank"">The Godfather</a><br><a href='http://localhost:3000/movie/625c2b4cf0a5bc6c426c069e' target=""_blank"">The Godfather: Part II</a><br><a href='http://localhost:3000/movie/625c2b4df0a5bc6c426c06a0' target=""_blank"">12 Angry Men</a><br><a href='http://localhost:3000/movie/625c2bcbf0a5bc6c426c0770' target=""_blank"">Scarface</a><br>"
Sen to Chihiro no kamikakushi,"Here are my recommendations for Sen to Chihiro no kamikakushi:<br><a href='http://localhost:3000/movie/625c2bb1f0a5bc6c426c071c' target=""_blank"">WALL·E</a><br><a href='http://localhost:3000/movie/625c2baaf0a5bc6c426c0712' target=""_blank"">Coco</a><br><a href='http://localhost:3000/movie/625c2bf9f0a5bc6c426c07d4' target=""_blank"">Hauru no ugoku shiro</a><br><a href='http://localhost:3000/movie/625c2e2ef0a5bc6c426c0e10' target=""_blank"">Mulan</a><br><a href='http://localhost:3000/movie/625c2e39f0a5bc6c426c0e58' target=""_blank"">The Jungle Book</a><br>"
Saving Private Ryan,"Here are my recommendations for Saving Private Ryan:<br><a href='http://localhost:3000/movie/625c2bc9f0a5bc6c426c0768' target=""_blank"">Full Metal Jacket</a><br><a href='http://localhost:3000/movie/625c2c56f0a5bc6c426c08b0' target=""_blank"">Platoon</a><br><a href='http://localhost:3000/movie/625c2c5cf0a5bc6c426c08c4' target=""_blank"">The Deer Hunter</a><br><a href='http://localhost:3000/movie/625c2bb9f0a5bc6c426c0738' target=""_blank"">Paths of Glory</a><br><a href='http://localhost:3000/movie/625c2e2df0a5bc6c426c0e0e' target=""_blank"">The Thin Red Line</a><br>"
The Green Mile,"Here are my recommendations for The Green Mile:<br><a href='http://localhost:3000/movie/625c2d12f0a5bc6c426c0a66' target=""_blank"">Låt den rätte komma in</a><br><a href='http://localhost:3000/movie/625c2dd4f0a5bc6c426c0c8c' target=""_blank"">Death Note: Desu nôto</a><br><a href='http://localhost:3000/movie/625c2b4ef0a5bc6c426c06a4' target=""_blank"">Pulp Fiction</a><br><a href='http://localhost:3000/movie/625c2b47f0a5bc6c426c069a' target=""_blank"">The Godfather</a><br><a href='http://localhost:3000/movie/625c2b4cf0a5bc6c426c069e' target=""_blank"">The Godfather: Part II</a><br>"
La vita è bella,"Here are my recommendations for La vita è bella:<br><a href='http://localhost:3000/movie/625c2dcdf0a5bc6c426c0c78' target=""_blank"">Silver Linings Playbook</a><br><a href='http://localhost:3000/movie/625c2dcef0a5bc6c426c0c7c' target=""_blank"">(500) Days of Summer</a><br><a href='http://localhost:3000/movie/625c2d5ff0a5bc6c426c0b44' target=""_blank"">Moonrise Kingdom</a><br><a href='http://localhost:3000/movie/625c2e16f0a5bc6c426c0dae' target=""_blank"">50/50</a><br><a href='http://localhost:3000/movie/625c2ce4f0a5bc6c426c09ee' target=""_blank"">The Graduate</a><br>"
Se7en,"Here are my recommendations for Se7en:<br><a href='http://localhost:3000/movie/625c2c30f0a5bc6c426c0854' target=""_blank"">Prisoners</a><br><a href='http://localhost:3000/movie/625c2bfbf0a5bc6c426c07dc' target=""_blank"">L.A. Confidential</a><br><a href='http://localhost:3000/movie/625c2d57f0a5bc6c426c0b28' target=""_blank"">The Hateful Eight</a><br><a href='http://localhost:3000/movie/625c2dd5f0a5bc6c426c0c96' target=""_blank"">Zodiac</a><br><a href='http://localhost:3000/movie/625c2d24f0a5bc6c426c0a8a' target=""_blank"">Mystic River</a><br>"
The Silence of the Lambs,"Here are my recommendations for The Silence of the Lambs:<br><a href='http://localhost:3000/movie/625c2b6cf0a5bc6c426c06e2' target=""_blank"">The Departed</a><br><a href='http://localhost:3000/movie/625c2b6af0a5bc6c426c06da' target=""_blank"">Joker</a><br><a href='http://localhost:3000/movie/625c2bc8f0a5bc6c426c0766' target=""_blank"">Reservoir Dogs</a><br><a href='http://localhost:3000/movie/625c2c3ff0a5bc6c426c0868' target=""_blank"">No Country for Old Men</a><br><a href='http://localhost:3000/movie/625c2c4ef0a5bc6c426c0896' target=""_blank"">Fargo</a><br>"
Star Wars,"Here are my recommendations for Star Wars:<br><a href='http://localhost:3000/movie/625c2b59f0a5bc6c426c06b8' target=""_blank"">Star Wars: Episode V - The Empire Strikes Back</a><br><a href='http://localhost:3000/movie/625c2d77f0a5bc6c426c0b76' target=""_blank"">Avatar</a><br><a href='http://localhost:3000/movie/625c2ccbf0a5bc6c426c0988' target=""_blank"">Pirates of the Caribbean: The Curse of the Black Pearl</a><br><a href='http://localhost:3000/movie/625c2bcbf0a5bc6c426c0772' target=""_blank"">Star Wars: Episode VI - Return of the Jedi</a><br><a href='http://localhost:3000/movie/625c2d89f0a5bc6c426c0ba2' target=""_blank"">Wo hu cang long</a><br>"
Seppuku,"Here are my recommendations for Seppuku:<br><a href='http://localhost:3000/movie/625c2bb1f0a5bc6c426c0720' target=""_blank"">Oldeuboi</a><br><a href='http://localhost:3000/movie/625c2cb4f0a5bc6c426c0940' target=""_blank"">Blade Runner 2049</a><br><a href='http://localhost:3000/movie/625c2e25f0a5bc6c426c0ddc' target=""_blank"">Watchmen</a><br><a href='http://localhost:3000/movie/625c2d8ef0a5bc6c426c0bb6' target=""_blank"">The Game</a><br><a href='http://localhost:3000/movie/625c2e25f0a5bc6c426c0dd8' target=""_blank"">300</a><br>"
Shichinin no samurai,"Here are my recommendations for Shichinin no samurai:<br><a href='http://localhost:3000/movie/625c2b51f0a5bc6c426c06ac' target=""_blank"">The Lord of the Rings: The Fellowship of the Ring</a><br><a href='http://localhost:3000/movie/625c2b4df0a5bc6c426c06a2' target=""_blank"">The Lord of the Rings: The Return of the King</a><br><a href='http://localhost:3000/movie/625c2b55f0a5bc6c426c06b2' target=""_blank"">The Lord of the Rings: The Two Towers</a><br><a href='http://localhost:3000/movie/625c2b6cf0a5bc6c426c06e6' target=""_blank"">Gladiator</a><br><a href='http://localhost:3000/movie/625c2b7cf0a5bc6c426c070e' target=""_blank"">Avengers: Endgame</a><br>"
It's a Wonderful Life,"Here are my recommendations for It's a Wonderful Life:<br><a href='http://localhost:3000/movie/625c2de6f0a5bc6c426c0cf2' target=""_blank"">A Little Princess</a><br><a href='http://localhost:3000/movie/625c2baef0a5bc6c426c071a' target=""_blank"">Taare Zameen Par</a><br><a href='http://localhost:3000/movie/625c2c81f0a5bc6c426c0932' target=""_blank"">Wonder</a><br><a href='http://localhost:3000/movie/625c2bc2f0a5bc6c426c0750' target=""_blank"">Babam ve Oglum</a><br><a href='http://localhost:3000/movie/625c2c6bf0a5bc6c426c08e0' target=""_blank"">El ángel exterminador</a><br>"
Joker,"Here are my recommendations for Joker:<br><a href='http://localhost:3000/movie/625c2b62f0a5bc6c426c06d0' target=""_blank"">The Silence of the Lambs</a><br><a href='http://localhost:3000/movie/625c2b6cf0a5bc6c426c06e2' target=""_blank"">The Departed</a><br><a href='http://localhost:3000/movie/625c2bc8f0a5bc6c426c0766' target=""_blank"">Reservoir Dogs</a><br><a href='http://localhost:3000/movie/625c2c3ff0a5bc6c426c0868' target=""_blank"">No Country for Old Men</a><br><a href='http://localhost:3000/movie/625c2c4ef0a5bc6c426c0896' target=""_blank"">Fargo</a><br>"
Whiplash,"Here are my recommendations for Whiplash:<br><a href='http://localhost:3000/movie/625c2ddff0a5bc6c426c0cca' target=""_blank"">Billy Elliot</a><br><a href='http://localhost:3000/movie/625c2c39f0a5bc6c426c085e' target=""_blank"">Okuribito</a><br><a href='http://localhost:3000/movie/625c2d22f0a5bc6c426c0a82' target=""_blank"">Les choristes</a><br><a href='http://localhost:3000/movie/625c2c04f0a5bc6c426c07f6' target=""_blank"">Höstsonaten</a><br><a href='http://localhost:3000/movie/625c2d4df0a5bc6c426c0b0e' target=""_blank"">Sound of Metal</a><br>"
The Intouchables,"Here are my recommendations for The Intouchables:<br><a href='http://localhost:3000/movie/625c2d36f0a5bc6c426c0ab6' target=""_blank"">The Untouchables</a><br><a href='http://localhost:3000/movie/625c2bdff0a5bc6c426c079e' target=""_blank"">Green Book</a><br><a href='http://localhost:3000/movie/625c2d5ff0a5bc6c426c0b48' target=""_blank"">The Big Short</a><br><a href='http://localhost:3000/movie/625c2d8ef0a5bc6c426c0bba' target=""_blank"">Ed Wood</a><br><a href='http://localhost:3000/movie/625c2e0ef0a5bc6c426c0d9a' target=""_blank"">Philomena</a><br>"
The Prestige,"Here are my recommendations for The Prestige:<br><a href='http://localhost:3000/movie/625c2ccdf0a5bc6c426c0994' target=""_blank"">Donnie Darko</a><br><a href='http://localhost:3000/movie/625c2d12f0a5bc6c426c0a64' target=""_blank"">Moon</a><br><a href='http://localhost:3000/movie/625c2c67f0a5bc6c426c08d4' target=""_blank"">Solaris</a><br><a href='http://localhost:3000/movie/625c2de2f0a5bc6c426c0ce0' target=""_blank"">Abre los ojos</a><br><a href='http://localhost:3000/movie/625c2d06f0a5bc6c426c0a50' target=""_blank"">Arrival</a><br>"
The Departed,"Here are my recommendations for The Departed:<br><a href='http://localhost:3000/movie/625c2b62f0a5bc6c426c06d0' target=""_blank"">The Silence of the Lambs</a><br><a href='http://localhost:3000/movie/625c2b6af0a5bc6c426c06da' target=""_blank"">Joker</a><br><a href='http://localhost:3000/movie/625c2bc8f0a5bc6c426c0766' target=""_blank"">Reservoir Dogs</a><br><a href='http://localhost:3000/movie/625c2c3ff0a5bc6c426c0868' target=""_blank"">No Country for Old Men</a><br><a href='http://localhost:3000/movie/625c2c4ef0a5bc6c426c0896' target=""_blank"">Fargo</a><br>"
The Pianist,"Here are my recommendations for The Pianist:<br><a href='http://localhost:3000/movie/625c2cb6f0a5bc6c426c0944' target=""_blank"">Bohemian Rhapsody</a><br><a href='http://localhost:3000/movie/625c2d83f0a5bc6c426c0b8e' target=""_blank"">Walk the Line</a><br><a href='http://localhost:3000/movie/625c2ddaf0a5bc6c426c0cae' target=""_blank"">Ray</a><br><a href='http://localhost:3000/movie/625c2e24f0a5bc6c426c0dce' target=""_blank"">La Vie En Rose</a><br><a href='http://localhost:3000/movie/625c2dd7f0a5bc6c426c0c9c' target=""_blank"">Control</a><br>"
Gladiator,"Here are my recommendations for Gladiator:<br><a href='http://localhost:3000/movie/625c2b51f0a5bc6c426c06ac' target=""_blank"">The Lord of the Rings: The Fellowship of the Ring</a><br><a href='http://localhost:3000/movie/625c2b4df0a5bc6c426c06a2' target=""_blank"">The Lord of the Rings: The Return of the King</a><br><a href='http://localhost:3000/movie/625c2b55f0a5bc6c426c06b2' target=""_blank"">The Lord of the Rings: The Two Towers</a><br><a href='http://localhost:3000/movie/625c2b7cf0a5bc6c426c070e' target=""_blank"">Avengers: Endgame</a><br><a href='http://localhost:3000/movie/625c2cb6f0a5bc6c426c0946' target=""_blank"">The Revenant</a><br>"
American History X,"Here are my recommendations for American History X:<br><a href='http://localhost:3000/movie/625c2b46f0a5bc6c426c0698' target=""_blank"">The Shawshank Redemption</a><br><a href='http://localhost:3000/movie/625c2b50f0a5bc6c426c06aa' target=""_blank"">Fight Club</a><br><a href='http://localhost:3000/movie/625c2bc5f0a5bc6c426c075c' target=""_blank"">American Beauty</a><br><a href='http://localhost:3000/movie/625c2b59f0a5bc6c426c06ba' target=""_blank"">One Flew Over the Cuckoo's Nest</a><br><a href='http://localhost:3000/movie/625c2bc5f0a5bc6c426c075a' target=""_blank"">Requiem for a Dream</a><br>"
The Usual Suspects,"Here are my recommendations for The Usual Suspects:<br><a href='http://localhost:3000/movie/625c2bd8f0a5bc6c426c0792' target=""_blank"">M - Eine Stadt sucht einen Mörder</a><br><a href='http://localhost:3000/movie/625c2e3bf0a5bc6c426c0e66' target=""_blank"">The 39 Steps</a><br><a href='http://localhost:3000/movie/625c2cc3f0a5bc6c426c0970' target=""_blank"">Sin City</a><br><a href='http://localhost:3000/movie/625c2ddff0a5bc6c426c0cce' target=""_blank"">Ocean's Eleven</a><br><a href='http://localhost:3000/movie/625c2c0af0a5bc6c426c080e' target=""_blank"">Dial M for Murder</a><br>"
Léon,"Here are my recommendations for Léon:<br><a href='http://localhost:3000/movie/625c2b48f0a5bc6c426c069c' target=""_blank"">The Dark Knight</a><br><a href='http://localhost:3000/movie/625c2c42f0a5bc6c426c087a' target=""_blank"">Kill Bill: Vol. 1</a><br><a href='http://localhost:3000/movie/625c2e0bf0a5bc6c426c0d88' target=""_blank"">Baby Driver</a><br><a href='http://localhost:3000/movie/625c2e0df0a5bc6c426c0d92' target=""_blank"">Sicario</a><br><a href='http://localhost:3000/movie/625c2ddbf0a5bc6c426c0cb4' target=""_blank"">Man on Fire</a><br>"
The Lion King,"Here are my recommendations for The Lion King:<br><a href='http://localhost:3000/movie/625c2cd8f0a5bc6c426c09ca' target=""_blank"">Tenkû no shiro Rapyuta</a><br><a href='http://localhost:3000/movie/625c2d96f0a5bc6c426c0bd8' target=""_blank"">Majo no takkyûbin</a><br><a href='http://localhost:3000/movie/625c2c2ff0a5bc6c426c084e' target=""_blank"">Song of the Sea</a><br><a href='http://localhost:3000/movie/625c2c81f0a5bc6c426c0930' target=""_blank"">Kaguyahime no monogatari</a><br><a href='http://localhost:3000/movie/625c2dc9f0a5bc6c426c0c62' target=""_blank"">Le Petit Prince</a><br>"
Terminator 2: Judgment Day,"Here are my recommendations for Terminator 2: Judgment Day:<br><a href='http://localhost:3000/movie/625c2b56f0a5bc6c426c06b4' target=""_blank"">The Matrix</a><br><a href='http://localhost:3000/movie/625c2cd8f0a5bc6c426c09cc' target=""_blank"">The Terminator</a><br><a href='http://localhost:3000/movie/625c2b4ff0a5bc6c426c06a8' target=""_blank"">Inception</a><br><a href='http://localhost:3000/movie/625c2cc0f0a5bc6c426c0962' target=""_blank"">The Avengers</a><br><a href='http://localhost:3000/movie/625c2bf4f0a5bc6c426c07c8' target=""_blank"">V for Vendetta</a><br>"
